Test Run: 2025-06-15 21:48:31
Total cases in train split: 256
Cases found and tested: 256
True cases: 256
Accuracy: 100.00%
tax_case_8: True
tax_case_80: True
tax_case_81: True
tax_case_83: True
tax_case_84: True
tax_case_86: True
tax_case_87: True
tax_case_88: True
tax_case_89: True
tax_case_91: True
tax_case_92: True
tax_case_94: True
tax_case_95: True
tax_case_96: True
tax_case_97: True
tax_case_98: True
tax_case_99: True
