id,question,question_type,expected,prolog_result,is_correct
s2_a_2_A_pos,% Section 2(a)(2)(A) applies to Bob in 2015. Entailment,logical,Entailment,Entailment,True
s2_a_2_B_neg,% Section 2(a)(2)(B) applies to Bob in 2014. Contradiction,logical,Contradiction,Contradiction,True
s2_a_2_B_pos,% Section 2(a)(2)(B) applies to Bob in 2014. Entailment,logical,Entailment,Entailment,True
s2_b_1_A_neg,% Section 2(b)(1)(A) applies to Bob in 2018. Contradiction,logical,Contradiction,Contradiction,True
s2_b_1_A_pos,% Section 2(b)(1)(A) applies to Bob in 2018. Entailment,logical,Entailment,Contradiction,False
s2_b_1_B_neg,% Section 2(b)(1)(B) applies to Bob in 2018. Contradiction,logical,Contradiction,Contradiction,True
s2_b_1_B_pos,% Section 2(b)(1)(B) applies to Bob in 2018. Entailment,logical,Entailment,Contradiction,False
s2_b_1_neg,% Section 2(b)(1) applies to Bob in 2016. Contradiction,logical,Contradiction,Contradiction,True
s2_b_1_pos,% Section 2(b)(1) applies to Bob in 2018. Entailment,logical,Entailment,Contradiction,False
s2_b_2_A_neg,% Section 2(b)(2)(A) applies to Alice and Bob in 2010. Contradiction,logical,Contradiction,Contradiction,True
s2_b_2_A_pos,% Section 2(b)(2)(A) applies to Alice and Bob in 2018. Entailment,logical,Entailment,Entailment,True
s2_b_2_B_neg,% Section 2(b)(2)(B) applies to Bob in 2015. Contradiction,logical,Contradiction,Contradiction,True
s2_b_2_B_pos,% Section 2(b)(2)(B) applies to Bob in 2013. Entailment,logical,Entailment,Entailment,True
s2_b_2_C_neg,% Section 2(b)(2)(C) applies to Bob in 2014. Contradiction,logical,Contradiction,Contradiction,True
s2_b_2_C_pos,% Section 2(b)(2)(C) applies to Bob in 2014. Entailment,logical,Entailment,Entailment,True
s2_b_3_B_neg,% Section 2(b)(3)(B) applies to Bob in 2018. Contradiction,logical,Contradiction,Contradiction,True
s2_b_3_B_pos,% Section 2(b)(3)(B) applies to Bob as the taxpayer and Charlie as the individual in 2018. Entailment,logical,Entailment,Contradiction,False
s3306_a_1_A_neg,"% Under section 3306(a)(1)(A), Alice is an employer for the year 2019. Contradiction",logical,Contradiction,Contradiction,True
s3306_a_1_A_pos,"% Under section 3306(a)(1)(A), Alice is an employer for the year 2017. Entailment",logical,Entailment,Entailment,True
s3306_a_1_neg,% Alice is an employer under section 3306(a)(1) for the year 2018. Contradiction,logical,Contradiction,Contradiction,True
s3306_a_1_pos,% Bob is an employer under section 3306(a)(1) for the year 2018. Entailment,logical,Entailment,Entailment,True
s3306_a_2_A_neg,"% Under section 3306(a)(2)(A), Alice is an employer for the year 2017. Contradiction",logical,Contradiction,Contradiction,True
s3306_a_2_A_pos,"% Under section 3306(a)(2)(A), Alice is an employer for the year 2017. Entailment",logical,Entailment,Entailment,True
s3306_a_2_B_neg,% Section 3306(a)(2)(B) applies to Alice for the year 2017. Contradiction,logical,Contradiction,Contradiction,True
s3306_a_2_B_pos,% Section 3306(a)(2)(B) applies to Alice for the year 2017. Entailment,logical,Entailment,Entailment,True
s3306_b_10_A_neg,% Section 3306(b)(10)(A) applies to the payment of $12980 that Alice made in 2019. Contradiction,logical,Contradiction,Contradiction,True
s3306_b_10_A_pos,% Section 3306(b)(10)(A) applies to the payment of $12980 that Alice made in 2019. Entailment,logical,Entailment,Entailment,True
s3306_b_10_B_neg,% Section 3306(b)(10)(B) applies to the payment of $12980 that Alice made in 2019. Contradiction,logical,Contradiction,Contradiction,True
s3306_b_10_B_pos,% Section 3306(b)(10)(B) applies to the payment of $12980 that Alice made in 2019. Entailment,logical,Entailment,Entailment,True
s3306_b_11_neg,% Section 3306(b)(11) applies to the payment that Alice made to Bob for the year 2017. Contradiction,logical,Contradiction,Contradiction,True
s3306_b_11_pos,% Section 3306(b)(11) applies to the payment that Alice made to Bob for the year 2017. Entailment,logical,Entailment,Entailment,True
s3306_b_15_neg,% Section 3306(b)(15) applies to the payment that Alice made to Charlie in 2019. Contradiction,logical,Contradiction,Contradiction,True
s3306_b_15_pos,% Section 3306(b)(15) applies to the payment that Alice made to Charlie in 2020. Entailment,logical,Entailment,Contradiction,False
s3306_b_2_A_neg,% Section 3306(b)(2)(A) applies to the payment Alice made to Bob for the year 2017. Contradiction,logical,Contradiction,Contradiction,True
s3306_b_2_A_pos,% Section 3306(b)(2)(A) applies to the payment Alice made to the health insurance fund for the year 2017. Entailment,logical,Entailment,Entailment,True
s3306_b_7_neg,% Section 3306(b)(7) applies to the payment Alice made to Bob. Contradiction,logical,Contradiction,Contradiction,True
s3306_b_7_pos,% Section 3306(b)(7) applies to the payment Alice made to Bob. Entailment,logical,Entailment,Entailment,True
s3306_b_neg,% Section 3306(b) applies to the payment in hay made by Alice to Bob for the year 2018. Contradiction,logical,Contradiction,Contradiction,True
s3306_b_pos,% Section 3306(b) applies to the money paid by Alice to Bob for the year 2018. Entailment,logical,Entailment,Entailment,True
s3306_c_10_A_i_neg,% Section 3306(c)(10)(A)(i) applies to Alice's employment situation in 2017. Contradiction,logical,Contradiction,Contradiction,True
s3306_c_10_A_i_pos,% Section 3306(c)(10)(A)(i) applies to Alice's employment situation in 2017. Entailment,logical,Entailment,Contradiction,False
s3306_c_10_A_ii_neg,% Section 3306(c)(10)(A)(ii) applies to Bob's employment situation in 2017. Contradiction,logical,Contradiction,Contradiction,True
s3306_c_10_A_ii_pos,% Section 3306(c)(10)(A)(ii) applies to Bob's employment situation in 2017. Entailment,logical,Entailment,Entailment,True
s3306_c_13_neg,% Section 3306(c)(13) applies to Alice's employment situation in 2017. Contradiction,logical,Contradiction,Contradiction,True
s3306_c_13_pos,% Section 3306(c)(13) applies to Alice's employment situation in 2017. Entailment,logical,Entailment,Entailment,True
s3306_c_1_A_i_neg,% Section 3306(c)(1)(A)(i) applies to Alice employing Bob for the year 2017. Contradiction,logical,Contradiction,Contradiction,True
s3306_c_1_A_i_pos,% Section 3306(c)(1)(A)(i) applies to Alice employing Bob for the year 2017. Entailment,logical,Entailment,Entailment,True
s3306_c_1_neg,% Section 3306(c)(1) applies to Alice employing Bob for the year 2017. Contradiction,logical,Contradiction,Contradiction,True
s3306_c_1_pos,% Section 3306(c)(1) applies to Alice employing Bob for the year 2017. Entailment,logical,Entailment,Entailment,True
s3306_c_21_neg,% Section 3306(c)(21) applies to Alice's employment situation in 2017. Contradiction,logical,Contradiction,Contradiction,True
s3306_c_21_pos,% Section 3306(c)(21) applies to Alice's employment situation in 2017. Entailment,logical,Entailment,Entailment,True
s3306_c_2_neg,% Section 3306(c)(2) applies to Alice employing Bob for the year 2017. Contradiction,logical,Contradiction,Contradiction,True
s3306_c_2_pos,% Section 3306(c)(2) applies to Alice employing Bob for the year 2017. Entailment,logical,Entailment,Entailment,True
s3306_c_5_neg,% Section 3306(c)(5) applies to Alice employing Bob for the year 2017. Contradiction,logical,Contradiction,Contradiction,True
s3306_c_5_pos,% Section 3306(c)(5) applies to Alice employing Bob for the year 2017. Entailment,logical,Entailment,Entailment,True
s3306_c_A_neg,% Section 3306(c)(A) applies to Alice employing Bob for the year 2017. Contradiction,logical,Contradiction,Contradiction,True
s3306_c_A_pos,% Section 3306(c)(A) applies to Alice employing Bob for the year 2017. Entailment,logical,Entailment,Entailment,True
s63_a_neg,"% Under section 63(a), Alice's taxable income in 2017 is equal to $31200. Contradiction",logical,Contradiction,Contradiction,True
s63_a_pos,"% Under section 63(a), Alice's taxable income in 2017 is equal to $26948. Entailment",logical,Entailment,Entailment,True
s63_c_1_neg,"% Under section 63(c)(1), Alice's standard deduction in 2017 is equal to $4000. Contradiction",logical,Contradiction,Contradiction,True
s63_c_1_pos,"% Under section 63(c)(1), Alice's standard deduction in 2017 is equal to $5000. Entailment",logical,Entailment,Entailment,True
s63_c_2_B_neg,"% Under section 63(c)(2)(B), Alice's basic standard deduction in 2017 is equal to $4400. Contradiction",logical,Contradiction,Contradiction,True
s63_c_2_B_pos,"% Under section 63(c)(2)(B), Alice's basic standard deduction in 2017 is equal to $4400. Entailment",logical,Entailment,Entailment,True
s63_c_2_C_neg,"% Under section 63(c)(2)(C), Alice's basic standard deduction in 2017 is equal to $4400. Contradiction",logical,Contradiction,Contradiction,True
s63_c_2_C_pos,"% Under section 63(c)(2)(C), Alice's basic standard deduction in 2017 is equal to $3000. Entailment",logical,Entailment,Entailment,True
s63_c_3_neg,"% Under section 63(c)(3), Alice's additional standard deduction in 2017 is equal to $300. Contradiction",logical,Contradiction,Contradiction,True
s63_c_3_pos,"% Under section 63(c)(3), Alice's additional standard deduction in 2017 is equal to $1200. Entailment",logical,Entailment,Entailment,True
s63_c_5_neg,% Section 63(c)(5) applies to Bob's basic standard deduction in 2017. Contradiction,logical,Contradiction,Contradiction,True
s63_c_5_pos,"% Under section 63(c)(5), Bob's basic standard deduction in 2017 is equal to at most $500. Entailment",logical,Entailment,Entailment,True
s63_c_6_A_neg,% Section 63(c)(6)(A) applies to Alice for 2017. Contradiction,logical,Contradiction,Contradiction,True
s63_c_6_A_pos,% Section 63(c)(6)(A) applies to Alice for 2017. Entailment,logical,Entailment,Entailment,True
s63_c_7_ii_neg,"% Under section 63(c)(7)(ii), Alice's basic standard deduction in 2019 is equal to $3000. Contradiction",logical,Contradiction,Contradiction,True
s63_c_7_ii_pos,"% Under section 63(c)(7)(ii), Alice's basic standard deduction in 2019 is equal to $12000. Entailment",logical,Entailment,Entailment,True
s63_d_2_neg,% Alice's deduction for 2017 falls under section 63(d)(2). Contradiction,logical,Contradiction,Contradiction,True
s63_d_2_pos,% Alice's deduction for 2017 falls under section 63(d)(2). Entailment,logical,Entailment,Entailment,True
s63_d_neg,% Alice's deduction for 2017 falls under section 63(d). Contradiction,logical,Contradiction,Contradiction,True
s63_d_pos,% Alice's deduction for 2017 falls under section 63(d). Entailment,logical,Entailment,Entailment,True
s63_f_1_B_neg,% Section 63(f)(1)(B) applies to Alice with Bob as the spouse in 2017. Contradiction,logical,Contradiction,Contradiction,True
s63_f_1_B_pos,% Section 63(f)(1)(B) applies to Bob with Alice as the spouse in 2017. Entailment,logical,Entailment,Entailment,True
s63_f_2_A_neg,% Section 63(f)(2)(A) applies to Bob in 2017. Contradiction,logical,Contradiction,Contradiction,True
s63_f_2_A_pos,% Section 63(f)(2)(A) applies to Alice in 2017. Entailment,logical,Entailment,Entailment,True
s63_f_3_neg,"% Under section 63(f)(3), Alice's additional standard deduction in 2017 is equal to $600. Contradiction",logical,Contradiction,Contradiction,True
s63_f_3_pos,"% Under section 63(f)(3), Alice's additional standard deduction in 2017 is equal to $750. Entailment",logical,Entailment,Entailment,True
s68_a_1_neg,% Section 68(a)(1) prescribes a reduction of Alice's itemized deductions for the year 2016 by $306. Contradiction,logical,Contradiction,Contradiction,True
s68_a_1_pos,% Section 68(a)(1) prescribes a reduction of Alice's itemized deductions for the year 2016 by $306. Entailment,logical,Entailment,Contradiction,False
s68_b_1_A_neg,% Section 68(b)(1)(A) applies to Alice for 2016. Contradiction,logical,Contradiction,Contradiction,True
s68_b_1_A_pos,"% Under section 68(b)(1)(A), Alice's applicable amount for 2016 is equal to $300000. Entailment",logical,Entailment,Entailment,True
s68_b_1_D_neg,% Section 68(b)(1)(D) applies to Alice in 2016. Contradiction,logical,Contradiction,Contradiction,True
s68_b_1_D_pos,"% Under section 68(b)(1)(D), Alice's applicable amount for 2016 is equal to $150000. Entailment",logical,Entailment,Entailment,True
s68_f_neg,% Section 68(f) applies to Alice for the year 2014. Contradiction,logical,Contradiction,Contradiction,True
s68_f_pos,% Section 68(f) applies to Alice for the year 2018. Entailment,logical,Entailment,Entailment,True
s7703_a_2_neg,% Section 7703(a)(2) applies to Alice for the year 2012. Contradiction,logical,Contradiction,Contradiction,True
s7703_a_2_pos,% Section 7703(a)(2) applies to Alice for the year 2018. Entailment,logical,Entailment,Entailment,True
s7703_b_1_neg,% Section 7703(b)(1) applies to Alice for the year 2018. Contradiction,logical,Contradiction,Entailment,False
s7703_b_1_pos,% Section 7703(b)(1) applies to Alice for the year 2018. Entailment,logical,Entailment,Entailment,True
s7703_b_3_neg,% Section 7703(b)(3) applies to Alice maintaining her home for the year 2018. Contradiction,logical,Contradiction,Entailment,False
s7703_b_3_pos,% Section 7703(b)(3) applies to Alice maintaining her home for the year 2018. Entailment,logical,Entailment,Entailment,True
tax_case_1,% How much tax does Alice have to pay in 2019? $0,numerical,Contradiction,true,False
tax_case_10,% How much tax does Alice have to pay in 2017? $68844,numerical,Contradiction,false,False
tax_case_100,% How much tax does Bob have to pay in 2006? $66088,numerical,Contradiction,true,False
tax_case_11,% How much tax does Alice have to pay in 2015? $0,numerical,Contradiction,true,False
tax_case_12,% How much tax does Alice have to pay in 2020? $118227,numerical,Contradiction,true,False
tax_case_13,% How much tax does Bob have to pay in 2017? $8710,numerical,Contradiction,error,False
tax_case_14,% How much tax does Alice have to pay in 2017? $8582,numerical,Contradiction,true,False
tax_case_15,% How much tax does Alice have to pay in 2017? $5460,numerical,Contradiction,true,False
tax_case_16,% How much tax does Alice have to pay in 2017? $4938,numerical,Contradiction,true,False
tax_case_17,% How much tax does Bob have to pay in 2015? $4509,numerical,Contradiction,error,False
tax_case_18,% How much tax does Alice have to pay in 2015? $19801,numerical,Contradiction,true,False
tax_case_19,% How much tax does Alice have to pay in 2017? $16664,numerical,Contradiction,true,False
tax_case_2,% How much tax does Alice have to pay in 2013? $26567,numerical,Contradiction,error,False
tax_case_20,% How much tax does Alice have to pay in 2017? $90683,numerical,Contradiction,true,False
tax_case_21,% How much tax does Alice have to pay in 2018? $15777,numerical,Contradiction,error,False
tax_case_22,% How much tax does Alice have to pay in 2017? $2174,numerical,Contradiction,true,False
tax_case_23,% How much tax does Bob have to pay in 2014? $26549,numerical,Contradiction,true,False
tax_case_24,% How much tax does Alice have to pay in 2017? $19039,numerical,Contradiction,true,False
tax_case_25,% How much tax does Alice have to pay in 2018? $259487,numerical,Contradiction,true,False
tax_case_26,% How much tax does Alice have to pay in 2019? $196056,numerical,Contradiction,true,False
tax_case_27,% How much tax does Alice have to pay in 2017? $3720,numerical,Contradiction,true,False
tax_case_29,% How much tax does Alice have to pay in 2016? $40741,numerical,Contradiction,true,False
tax_case_3,% How much tax does Alice have to pay in 2017? $3390,numerical,Contradiction,true,False
tax_case_32,% How much tax does Alice have to pay in 2019? $2242833,numerical,Contradiction,true,False
tax_case_33,% How much tax does Alice have to pay in 2015? $27181,numerical,Contradiction,false,False
tax_case_35,% How much tax does Alice have to pay in 2017? $2384,numerical,Contradiction,true,False
tax_case_36,% How much tax does Alice have to pay in 2017? $10018,numerical,Contradiction,error,False
tax_case_37,% How much tax does Alice have to pay in 2018? $32045,numerical,Contradiction,true,False
tax_case_38,% How much tax does Alice have to pay in 2017? $243097,numerical,Contradiction,true,False
tax_case_39,% How much tax does Bob have to pay in 2015? $6812,numerical,Contradiction,true,False
tax_case_4,% How much tax does Alice have to pay in 2012? $192,numerical,Contradiction,true,False
tax_case_40,% How much tax does Alice have to pay in 2017? $279126,numerical,Contradiction,true,False
tax_case_41,% How much tax does Alice have to pay in 2013? $17783,numerical,Contradiction,true,False
tax_case_42,% How much tax does Bob have to pay in 2015? $8312,numerical,Contradiction,true,False
tax_case_44,% How much tax does Alice have to pay in 2017? $34233,numerical,Contradiction,true,False
tax_case_45,% How much tax does Alice have to pay in 2017? $0,numerical,Contradiction,true,False
tax_case_47,% How much tax does Alice have to pay in 2017? $45946,numerical,Contradiction,true,False
tax_case_5,% How much tax does Alice have to pay in 2017? $116066,numerical,Contradiction,true,False
tax_case_50,% How much tax does Alice have to pay in 2017? $4931,numerical,Contradiction,true,False
tax_case_51,% How much tax does Alice have to pay in 2017? $55528,numerical,Contradiction,true,False
tax_case_52,% How much tax does Alice have to pay in 2017? $72344,numerical,Contradiction,true,False
tax_case_54,% How much tax does Alice have to pay in 2019? $62000,numerical,Contradiction,true,False
tax_case_55,% How much tax does Alice have to pay in 2018? $187552,numerical,Contradiction,true,False
tax_case_56,% How much tax does Alice have to pay in 2015? $130388,numerical,Contradiction,true,False
tax_case_58,% How much tax does Alice have to pay in 2017? $21635,numerical,Contradiction,true,False
tax_case_59,% How much tax does Alice have to pay in 2020? $15236,numerical,Contradiction,true,False
tax_case_6,% How much tax does Alice have to pay in 2017? $180610,numerical,Contradiction,true,False
tax_case_60,% How much tax does Alice have to pay in 2015? $4331,numerical,Contradiction,true,False
tax_case_61,% How much tax does Alice have to pay in 2015? $25055,numerical,Contradiction,true,False
tax_case_62,% How much tax does Alice have to pay in 2017? $1844,numerical,Contradiction,true,False
tax_case_63,% How much tax does Bob have to pay in 2019? $20298,numerical,Contradiction,true,False
tax_case_64,% How much tax does Alice have to pay in 2015? $81487,numerical,Contradiction,true,False
tax_case_65,% How much tax does Alice have to pay in 2016? $14473,numerical,Contradiction,true,False
tax_case_66,% How much tax does Bob have to pay in 2016? $16023,numerical,Contradiction,error,False
tax_case_67,% How much tax does Alice have to pay in 2016? $207772,numerical,Contradiction,true,False
tax_case_7,% How much tax does Bob have to pay in 2015? $245359,numerical,Contradiction,error,False
tax_case_70,% How much tax does Alice have to pay in 2016? $178147,numerical,Contradiction,true,False
tax_case_71,% How much tax does Alice have to pay in 356472? $356472,numerical,Contradiction,true,False
tax_case_72,% How much tax does Alice have to pay in 2013? $7595,numerical,Contradiction,true,False
tax_case_73,% How much tax does Alice have to pay in 2013? $15109,numerical,Contradiction,error,False
tax_case_74,% How much tax does Alice have to pay in 2017? $4525,numerical,Contradiction,true,False
tax_case_76,% How much tax does Alice have to pay in 1997? $46734,numerical,Contradiction,false,False
tax_case_79,% How much tax does Bob have to pay in 2020? $17402,numerical,Contradiction,true,False
tax_case_8,% How much tax does Alice have to pay in 2017? $12036,numerical,Contradiction,true,False
